,Config,Acc.,BOPs,Sparsity,Neff,aIQ,Layer#1,Layer#2,Layer#3,Layer#4,ILP,Synth,LUT,FF,BRAM,URAM,DSP,Latency
568,w7a10_w5a8_w4a7_w7a10,0.7670166666666667,297321.0651309475,25.404420141262246,0.5500859778625757,1.0441551422648654,7,5,4,7,0,0,0,0,0.0,0,0,0
569,w7a10_w5a8_w4a7_w8a11,0.7664041666666667,306569.6004387769,21.55388471177945,0.492950880796285,1.0260888615219954,7,5,4,8,0,0,0,0,0.0,0,0,0
570,w7a10_w5a8_w5a8_w4a7,0.7668458333333333,295259.69121075,26.771474139895194,0.43470383504355975,1.0075286331557851,7,5,5,4,0,0,0,0,0.0,0,0,0
571,w7a10_w5a8_w5a8_w5a8,0.7682333333333333,318617.721102427,16.359079516974255,0.4794010600732209,1.02267639889355,7,5,5,5,0,0,0,0,0.0,0,0,0
572,w7a10_w5a8_w5a8_w6a9,0.7677291666666667,312723.61771561776,19.845067213488267,0.5078007834374605,1.0314062724154331,7,5,5,6,0,0,0,0,0.0,0,0,0
573,w7a10_w5a8_w5a8_w7a10,0.7678208333333333,317056.19306184014,18.250170881749828,0.5068497247608607,1.0311523085378003,7,5,5,7,0,0,0,0,0.0,0,0,0
574,w7a10_w5a8_w5a8_w8a11,0.767425,315782.34032634035,19.617224880382775,0.4992920008113865,1.0285860926064518,7,5,5,8,0,0,0,0,0.0,0,0,0
575,w7a10_w5a8_w6a9_w4a7,0.7675875,326602.4253393665,16.24515835042151,0.4893718164715722,1.0255301280329847,7,5,6,4,0,1,61571,11328,1.5,0,291,80
576,w7a10_w5a8_w6a9_w5a8,0.7668208333333333,312907.04401480866,22.146274777853726,0.47514165220466553,1.0206236870755636,7,5,6,5,0,0,0,0,0.0,0,0,0
577,w7a10_w5a8_w6a9_w6a9,0.7674708333333333,326820.80460715754,16.860332649806335,0.5182402947948312,1.0345435920278778,7,5,6,6,0,0,0,0,0.0,0,0,0
578,w7a10_w5a8_w6a9_w7a10,0.7672666666666667,323963.57712875353,19.22989291410344,0.5121406825796948,1.0325424419920928,7,5,6,7,0,0,0,0,0.0,0,0,0
579,w7a10_w5a8_w6a9_w8a11,0.7672458333333333,327404.1234060058,17.817270448849396,0.5276071958634674,1.037345723111131,7,5,6,8,0,0,0,0,0.0,0,0,0
580,w7a10_w5a8_w7a10_w4a7,0.7674666666666666,329535.2847936377,18.660287081339714,0.5017307423219713,1.0293739956949257,7,5,7,4,0,0,0,0,0.0,0,0,0
581,w7a10_w5a8_w7a10_w5a8,0.7678708333333333,329439.23214040865,19.366598313966733,0.4686221876432872,1.0190507008862755,7,5,7,5,0,0,0,0,0.0,0,0,0
582,w7a10_w5a8_w7a10_w6a9,0.7678,326288.9236253942,21.07541581225792,0.48205131611071206,1.0233085427849846,7,5,7,6,0,0,0,0,0.0,0,0,0
583,w7a10_w5a8_w7a10_w7a10,0.7675208333333333,336194.46592623065,17.748917748917748,0.5018755445356227,1.0294456985904936,7,5,7,7,0,0,0,0,0.0,0,0,0
